target,model,n_features,features,f1_binary,accuracy,precision,recall,specificity,auc,auprc,utility,params
resue,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.1654776289638237,0.9448445446127444,0.15542849482769946,0.2,0.9648381509920269,0.7275582010714121,0.08303583919375615,0.2531612064543211,"{""n_estimators"": 340, ""max_depth"": 3, ""learning_rate"": 0.013096640464700953, ""subsample"": 0.6158747920656411, ""colsample_bytree"": 0.849129951418925, ""gamma"": 0.6577976314532911}"
resue,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.1488076096188538,0.952616565338133,0.1401375184980048,0.16036036036036036,0.9738828559333331,0.7186038223711562,0.07723438412923725,0.2412948845224293,"{""n_estimators"": 189, ""num_leaves"": 16, ""learning_rate"": 0.019930657169375803, ""subsample"": 0.8567063713415412, ""colsample_bytree"": 0.9025825341506022, ""reg_alpha"": 0.05140147085692532, ""reg_lambda"": 0.019886503125348166}"
resuc,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.33256275394580387,0.549055080968739,0.22068611484210615,0.6779516358463727,0.5234802640758588,0.6341161949963959,0.25097086902963983,0.3683958766810731,"{""n_estimators"": 259, ""max_depth"": 3, ""learning_rate"": 0.013489917864175192, ""subsample"": 0.7160285386990669, ""colsample_bytree"": 0.9092300537809201, ""gamma"": 1.9313766919239694}"
resuc,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.3321563858499196,0.5583816167484492,0.22483028115729548,0.6611664295874823,0.5379879028943984,0.6319324256111998,0.2518513184496777,0.3680200735821031,"{""n_estimators"": 151, ""num_leaves"": 61, ""learning_rate"": 0.010792152114284444, ""subsample"": 0.9964735526578549, ""colsample_bytree"": 0.6014943009281835, ""reg_alpha"": 0.10247853196397233, ""reg_lambda"": 0.26217675329143664}"
rds,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.899020296993789,0.8377845390517548,0.8507777581372423,0.9534035097227236,0.477425394175896,0.8741752234426791,0.9496270942170076,0.9092333214505326,"{""n_estimators"": 181, ""max_depth"": 5, ""learning_rate"": 0.06324636634448702, ""subsample"": 0.6898130833180589, ""colsample_bytree"": 0.8480228442395876, ""gamma"": 2.1860717704390025}"
rds,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.8985756453584808,0.8372192124534221,0.8508683241409685,0.9522837972672049,0.47857540282257754,0.8704347441201545,0.9476178306879974,0.9076601207096704,"{""n_estimators"": 273, ""num_leaves"": 27, ""learning_rate"": 0.05183281663832441, ""subsample"": 0.6064543116468956, ""colsample_bytree"": 0.6037605373262075, ""reg_alpha"": 0.3857933579902103, ""reg_lambda"": 0.38402805770051807}"
sft,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.9001283291296108,0.8413641127188392,0.8547688416221441,0.9505860601060435,0.5100688238204081,0.8891573822744127,0.9559350232269755,0.9146761479877805,"{""n_estimators"": 344, ""max_depth"": 7, ""learning_rate"": 0.0797710909863532, ""subsample"": 0.9986106016200229, ""colsample_bytree"": 0.9766774732317213, ""gamma"": 0.859673581685189}"
sft,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.899854138742937,0.8424001714213276,0.8620189172536517,0.941692917408365,0.5412283932562767,0.8892336001824951,0.9556551876065271,0.9144703456899257,"{""n_estimators"": 246, ""num_leaves"": 47, ""learning_rate"": 0.017738776934592873, ""subsample"": 0.9627635992449772, ""colsample_bytree"": 0.8684149539157986, ""reg_alpha"": 0.5481485280728474, ""reg_lambda"": 0.5987937792471038}"
sftw,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.6474050889601501,0.7477269649541207,0.5529417413713885,0.7836112011285004,0.732687165775401,0.8359185668816516,0.6278327267075916,0.6792360758686828,"{""n_estimators"": 236, ""max_depth"": 5, ""learning_rate"": 0.011106944373900278, ""subsample"": 0.7372554527304798, ""colsample_bytree"": 0.9255849200672431, ""gamma"": 2.2887762156539555}"
sftw,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.6479688048566996,0.7456077665750815,0.548564031984524,0.7923795726186164,0.7260026737967915,0.8356374207644514,0.6296464765933707,0.6800058295592513,"{""n_estimators"": 247, ""num_leaves"": 16, ""learning_rate"": 0.02173535721665773, ""subsample"": 0.7941146474629841, ""colsample_bytree"": 0.6142621302311481, ""reg_alpha"": 0.2534799083495708, ""reg_lambda"": 0.3045349684083067}"
als,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.19145878872974814,0.7994927565727312,0.11802792640855786,0.5106598984771573,0.8135129844588971,0.729320180286335,0.10864978927822584,0.27418836720560885,"{""n_estimators"": 189, ""max_depth"": 3, ""learning_rate"": 0.011868550485553825, ""subsample"": 0.6981090847158299, ""colsample_bytree"": 0.9824068418345354, ""gamma"": 1.7755760400978928}"
als,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.1822971255454236,0.7985946356969609,0.11459782648319221,0.4833885838599398,0.8139088877302427,0.7131636894712778,0.10586459479296421,0.2655406791048566,"{""n_estimators"": 285, ""num_leaves"": 16, ""learning_rate"": 0.012450426144579063, ""subsample"": 0.6799153398026452, ""colsample_bytree"": 0.9759557263443488, ""reg_alpha"": 0.05504822663579512, ""reg_lambda"": 0.11600452013012574}"
mph,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.21652358624340634,0.8387289090822583,0.15622398696748357,0.4340348692403486,0.860821718674654,0.7674312459500713,0.1331712116286616,0.30169940580031596,"{""n_estimators"": 275, ""max_depth"": 3, ""learning_rate"": 0.01348140694140024, ""subsample"": 0.984084977423984, ""colsample_bytree"": 0.7565734251189769, ""gamma"": 2.837169381918063}"
mph,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.21119496920619327,0.8561532171278033,0.1557784437776291,0.36763387297633876,0.8828234676736795,0.7601514075436686,0.13162891554374254,0.29711644077495314,"{""n_estimators"": 212, ""num_leaves"": 63, ""learning_rate"": 0.01090428670268959, ""subsample"": 0.8046096096836707, ""colsample_bytree"": 0.8329108987008159, ""reg_alpha"": 0.27415445731931826, ""reg_lambda"": 0.586979635735668}"
ph,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.37357963536990124,0.8316609069647789,0.2827524653702258,0.5566579634464752,0.8589246522591297,0.8029939571502631,0.2764809139464835,0.4303328832989483,"{""n_estimators"": 282, ""max_depth"": 3, ""learning_rate"": 0.010575504281678735, ""subsample"": 0.6976957496327847, ""colsample_bytree"": 0.794673637501126, ""gamma"": 2.004477936378556}"
ph,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.3701034551806002,0.8399038927037357,0.289004195484771,0.520626631853786,0.871557240776084,0.7995158236504248,0.2770641288575125,0.42807413097763886,"{""n_estimators"": 214, ""num_leaves"": 27, ""learning_rate"": 0.011003978261064994, ""subsample"": 0.7742564504380621, ""colsample_bytree"": 0.8301424843051534, ""reg_alpha"": 0.5802728121976706, ""reg_lambda"": 0.20402007526778174}"
bpdyn,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.8623809358955097,0.8307666235488496,0.8490486949755152,0.8765775802796097,0.7606428699867733,0.9100358198737396,0.9446515310563651,0.8965930912394123,"{""n_estimators"": 180, ""max_depth"": 5, ""learning_rate"": 0.08088346829282532, ""subsample"": 0.985820114739564, ""colsample_bytree"": 0.9635613750062443, ""gamma"": 1.7723442177827637}"
bpdyn,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.8621575046794175,0.8288826969490308,0.8412066780213108,0.8846745403195783,0.7434773060185373,0.9092621225205715,0.9440934726793433,0.896159218647626,"{""n_estimators"": 244, ""num_leaves"": 44, ""learning_rate"": 0.021067686744834932, ""subsample"": 0.906987938398853, ""colsample_bytree"": 0.8402595116720223, ""reg_alpha"": 0.361381759352663, ""reg_lambda"": 0.23818864928692768}"
bpdm,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.7185649997008985,0.7683111882694398,0.6790741184269201,0.7641579120218429,0.7709374389588286,0.8417171158708964,0.7921164744979554,0.7652608653740152,"{""n_estimators"": 183, ""max_depth"": 4, ""learning_rate"": 0.03243424680736819, ""subsample"": 0.6279757475674778, ""colsample_bytree"": 0.7714787270408953, ""gamma"": 1.7396962980945156}"
bpdm,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.7181904608628724,0.7690644838544423,0.680573400244384,0.7607454353648853,0.7743135505351559,0.8409694186020747,0.7915791939047889,0.7647628723232879,"{""n_estimators"": 153, ""num_leaves"": 17, ""learning_rate"": 0.062200564370277156, ""subsample"": 0.7064027609324783, ""colsample_bytree"": 0.7746349388911862, ""reg_alpha"": 0.22162466305640824, ""reg_lambda"": 0.5778486965578105}"
pdad,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.5497130975926702,0.6150904559157383,0.4181464241688392,0.8028580015882824,0.5373878451774591,0.7225328235979983,0.47171686147599357,0.5608781719587328,"{""n_estimators"": 209, ""max_depth"": 3, ""learning_rate"": 0.044864651485079995, ""subsample"": 0.8591945976394694, ""colsample_bytree"": 0.9908137995812176, ""gamma"": 0.024166050246926307}"
pdad,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.5484424021600091,0.6149960499672763,0.4179882916035669,0.7983574361027228,0.5391215087619882,0.7205128121613616,0.47398351232109537,0.5605188172086055,"{""n_estimators"": 224, ""num_leaves"": 29, ""learning_rate"": 0.012609040813446512, ""subsample"": 0.9362975940180941, ""colsample_bytree"": 0.6449592637172245, ""reg_alpha"": 0.2742072233628877, ""reg_lambda"": 0.5651445135685432}"
acl,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.3078344685352521,0.7453258574587742,0.20304168416974852,0.6372980786773891,0.755854225898165,0.7619564976522579,0.19327180875639854,0.3642900764249972,"{""n_estimators"": 190, ""max_depth"": 6, ""learning_rate"": 0.010323643981869577, ""subsample"": 0.640766854381613, ""colsample_bytree"": 0.9954340829809313, ""gamma"": 0.835950940230504}"
acl,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.30390360413769846,0.7497067282316486,0.20194578336200952,0.6160779195261954,0.7627293874386145,0.7617156681902094,0.19820830016616017,0.3637574257567392,"{""n_estimators"": 350, ""num_leaves"": 16, ""learning_rate"": 0.010147562768207927, ""subsample"": 0.6154421202670803, ""colsample_bytree"": 0.9887345663121164, ""reg_alpha"": 0.24128829872820834, ""reg_lambda"": 0.5996715626332745}"
lbp,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.5902310441144405,0.7598792464515418,0.5185906486545051,0.6851443064788103,0.7851074428550874,0.8017489797024988,0.5709551803165569,0.6267518720926871,"{""n_estimators"": 158, ""max_depth"": 4, ""learning_rate"": 0.016334886045553432, ""subsample"": 0.6193989418889593, ""colsample_bytree"": 0.7199896885630714, ""gamma"": 1.2253823840825429}"
lbp,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.5907715966898919,0.7554513279773781,0.5121590366564474,0.6991445085496886,0.7744597690884103,0.8014031668433562,0.5719838782363595,0.6272615951845251,"{""n_estimators"": 275, ""num_leaves"": 16, ""learning_rate"": 0.010718311372091565, ""subsample"": 0.989409534137023, ""colsample_bytree"": 0.8889019503693244, ""reg_alpha"": 0.05427785118177433, ""reg_lambda"": 0.17951179584448673}"
ivh2,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.44686682855918286,0.7816860223630745,0.35662662195881645,0.6044515086768462,0.8119539349954097,0.7896053637894639,0.3710332497158132,0.4926644619522282,"{""n_estimators"": 350, ""max_depth"": 3, ""learning_rate"": 0.012578493988197137, ""subsample"": 0.6595668016530916, ""colsample_bytree"": 0.916666122899497, ""gamma"": 2.186325085561287}"
