target,model,n_features,features,f1_binary,accuracy,precision,recall,specificity,auc,auprc,utility,params
resue,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.15163479627431667,0.9200246307248996,0.10827732904949808,0.2684684684684685,0.9375143430497312,0.7085988782666084,0.07075510044862951,0.23876370392506888,"{""n_estimators"": 472, ""num_leaves"": 87, ""learning_rate"": 0.08433369621093585, ""subsample"": 0.9986465709955711, ""colsample_bytree"": 0.7083487928188575, ""reg_alpha"": 0.28555594234173143, ""reg_lambda"": 0.9799433236545178, ""min_child_samples"": 84}"
resuc,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.45403076691763644,0.7483879175025989,0.3551451064945348,0.6310099573257468,0.7716771505700045,0.7676707638951402,0.36790746204377306,0.4909217748509782,"{""n_estimators"": 478, ""max_depth"": 7, ""learning_rate"": 0.06241108672048811, ""subsample"": 0.9941154021469271, ""colsample_bytree"": 0.6090302880541159, ""gamma"": 2.7093187827266543, ""min_child_weight"": 5.484942793772346}"
resuc,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.4510311068667653,0.7521093662745617,0.3578312194639941,0.6139402560455192,0.7795240862183977,0.7647907395269947,0.355497255393186,0.4851228779567374,"{""n_estimators"": 399, ""num_leaves"": 29, ""learning_rate"": 0.028040447297521177, ""subsample"": 0.9046646258659845, ""colsample_bytree"": 0.8768345220268003, ""reg_alpha"": 0.5711682211883442, ""reg_lambda"": 0.7026780998330713, ""min_child_samples"": 72}"
rds,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9009989638471575,0.8431538995523814,0.8630513697153438,0.9425160335662117,0.5334602139865713,0.8781105780528987,0.9512276474015021,0.911489891754609,"{""n_estimators"": 396, ""max_depth"": 9, ""learning_rate"": 0.06466690764550395, ""subsample"": 0.6733101755699731, ""colsample_bytree"": 0.8893063527071301, ""gamma"": 1.410143686999167, ""min_child_weight"": 4.099084379720029}"
rds,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9010925315766324,0.8423531791746599,0.8584902669796154,0.9483013952372058,0.5121188881119407,0.8767480717312969,0.9504166401109352,0.9110208721678561,"{""n_estimators"": 354, ""num_leaves"": 33, ""learning_rate"": 0.061166243362323396, ""subsample"": 0.7162310915832277, ""colsample_bytree"": 0.6084795092259343, ""reg_alpha"": 0.8439842786408204, ""reg_lambda"": 0.9899171518795864, ""min_child_samples"": 89}"
sft,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9030851379165767,0.8473929728568482,0.8647174893254963,0.9455121870575918,0.549765652363878,0.8971231966347174,0.9601721169312532,0.9190188433646078,"{""n_estimators"": 392, ""max_depth"": 6, ""learning_rate"": 0.03006834735471168, ""subsample"": 0.742761798711413, ""colsample_bytree"": 0.7640364477519108, ""gamma"": 1.6034487210573505, ""min_child_weight"": 3.704309967411247}"
sft,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9030995695043933,0.8489474768202452,0.8728381496839054,0.9361810558906939,0.5843570244710928,0.8949403318986494,0.9585342842427049,0.918098136404738,"{""n_estimators"": 210, ""num_leaves"": 82, ""learning_rate"": 0.03539095826005168, ""subsample"": 0.759897688240223, ""colsample_bytree"": 0.7147262413337312, ""reg_alpha"": 0.41863434772812735, ""reg_lambda"": 0.4555058691859818, ""min_child_samples"": 64}"
sftw,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.6593028026738683,0.7590790251654183,0.5668792910023843,0.7890243174034325,0.746524064171123,0.8457739342164812,0.6544509672957906,0.6951414783689676,"{""n_estimators"": 295, ""max_depth"": 4, ""learning_rate"": 0.0521595751924864, ""subsample"": 0.6942681534488038, ""colsample_bytree"": 0.7351044315590046, ""gamma"": 2.917721320014576, ""min_child_weight"": 4.780187813273827}"
sftw,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.6577374112507646,0.7577131001895328,0.5646243655498333,0.7882299192385165,0.7449197860962566,0.8444856602468835,0.6520870639731422,0.6933919568667016,"{""n_estimators"": 327, ""num_leaves"": 58, ""learning_rate"": 0.03118311455377245, ""subsample"": 0.6586514994214953, ""colsample_bytree"": 0.7405634932180802, ""reg_alpha"": 0.8634296050231556, ""reg_lambda"": 0.47709941603610934, ""min_child_samples"": 67}"
als,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.18400146395087008,0.8300616843942155,0.12782207388167177,0.4090438205739148,0.8505060783183775,0.7130361271316801,0.1014615193703754,0.2650464132128837,"{""n_estimators"": 236, ""max_depth"": 3, ""learning_rate"": 0.01259691103121633, ""subsample"": 0.9903366684893897, ""colsample_bytree"": 0.8769588246112706, ""gamma"": 0.2860597404128251, ""min_child_weight"": 9.34126814907524}"
als,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.1790606696096176,0.8157442215452075,0.11653836107091572,0.42509064539521385,0.834699352682723,0.7068539332390488,0.10214716053590638,0.2615452696133905,"{""n_estimators"": 337, ""num_leaves"": 64, ""learning_rate"": 0.017145033260355377, ""subsample"": 0.9969317971853799, ""colsample_bytree"": 0.7443115672444021, ""reg_alpha"": 0.6708482953074266, ""reg_lambda"": 0.4184116194952225, ""min_child_samples"": 77}"
mph,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.22970994213987672,0.8293054386233235,0.15490323318555935,0.4859236197592362,0.8480518916587746,0.7698994825291462,0.1365004453116474,0.30978500116926183,"{""n_estimators"": 220, ""max_depth"": 5, ""learning_rate"": 0.012191737840498663, ""subsample"": 0.8884519143458747, ""colsample_bytree"": 0.7523125958783484, ""gamma"": 1.9746121615778727, ""min_child_weight"": 9.593262218471473}"
mph,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.2222092036638746,0.8030232750812105,0.14036524389672164,0.5413491075134911,0.8173030257387079,0.7676309779801906,0.13256155439786785,0.3043992637473358,"{""n_estimators"": 203, ""num_leaves"": 65, ""learning_rate"": 0.0104395397864717, ""subsample"": 0.7125979635141374, ""colsample_bytree"": 0.8786045037970077, ""reg_alpha"": 0.4880006611193454, ""reg_lambda"": 0.19564970181650532, ""min_child_samples"": 15}"
ph,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.37380613931611634,0.8329812704232442,0.2861436132281283,0.5503916449086163,0.8609978058010676,0.8009179040124188,0.2763082031913485,0.42997911141794654,"{""n_estimators"": 404, ""max_depth"": 3, ""learning_rate"": 0.011694616262549348, ""subsample"": 0.9946687376036397, ""colsample_bytree"": 0.7219877711839783, ""gamma"": 2.1228453439394226, ""min_child_weight"": 8.369217865459056}"
ph,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.37239530485875205,0.8350996591648026,0.2847260665960902,0.5425587467362923,0.8641023105547185,0.8000467506336271,0.2767963882735981,0.4292459190381809,"{""n_estimators"": 248, ""num_leaves"": 59, ""learning_rate"": 0.010356190234154076, ""subsample"": 0.8856475068288794, ""colsample_bytree"": 0.748191460733046, ""reg_alpha"": 0.3441898645283709, ""reg_lambda"": 0.43819219194570735, ""min_child_samples"": 100}"
bpdyn,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8643207397896664,0.8327919594347222,0.8489606896540423,0.8804708730623574,0.7598071219464351,0.9120454325247376,0.9457626593335776,0.8982982541998539,"{""n_estimators"": 298, ""max_depth"": 9, ""learning_rate"": 0.06619855259775492, ""subsample"": 0.9120008117563313, ""colsample_bytree"": 0.6677174046698043, ""gamma"": 2.540934491821731, ""min_child_weight"": 6.303511919299938}"
bpdyn,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8642437730808205,0.83109652309502,0.8417012405883915,0.8884138585022233,0.7433608883563149,0.9119882467587322,0.9456905017366986,0.8982266864131663,"{""n_estimators"": 270, ""num_leaves"": 15, ""learning_rate"": 0.02040602322660256, ""subsample"": 0.9746125405144487, ""colsample_bytree"": 0.8681695364843655, ""reg_alpha"": 0.009793908175914967, ""reg_lambda"": 0.00763753384102106, ""min_child_samples"": 100}"
bpdm,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.7223870723543372,0.7746694710438701,0.6917439110861551,0.7574612110729978,0.7855302843876822,0.8448757010732033,0.796159749086353,0.7690166011177151,"{""n_estimators"": 424, ""max_depth"": 6, ""learning_rate"": 0.023661388007217024, ""subsample"": 0.6432318499341202, ""colsample_bytree"": 0.6488230019670626, ""gamma"": 2.2584678958258393, ""min_child_weight"": 1.614234373547793}"
bpdm,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.7218464539985577,0.772314657066954,0.686315165441607,0.7626931662247025,0.7783854503222974,0.8452684564951429,0.7951602714368053,0.7685249997293491,"{""n_estimators"": 278, ""num_leaves"": 16, ""learning_rate"": 0.012396656919086499, ""subsample"": 0.9852090894622808, ""colsample_bytree"": 0.612685821378136, ""reg_alpha"": 0.9919368498643666, ""reg_lambda"": 0.6404028595352823, ""min_child_samples"": 22}"
pdad,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.5536664214216138,0.6306802252478019,0.4294994586838746,0.7817857943290802,0.5681553466506861,0.7297922653143523,0.48551671959450166,0.5684466796520279,"{""n_estimators"": 449, ""max_depth"": 5, ""learning_rate"": 0.012718814956401928, ""subsample"": 0.6520695052366438, ""colsample_bytree"": 0.9718372923178016, ""gamma"": 2.1916256612282536, ""min_child_weight"": 5.086684640508172}"
pdad,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.5506049204850234,0.622579014795404,0.42490598135702307,0.7883875305575959,0.5539741882618048,0.728103953808035,0.4829087065852791,0.5657958629797025,"{""n_estimators"": 492, ""num_leaves"": 28, ""learning_rate"": 0.01021529749050605, ""subsample"": 0.9372287297907418, ""colsample_bytree"": 0.9905195781490713, ""reg_alpha"": 0.028151958674062838, ""reg_lambda"": 0.5233058326262879, ""min_child_samples"": 44}"
acl,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.3079591949369037,0.7644478311198251,0.21172465178905875,0.5869465145327214,0.781752390798656,0.7685300952553473,0.20773454770852826,0.3700059808320798,"{""n_estimators"": 311, ""max_depth"": 10, ""learning_rate"": 0.031160861443650267, ""subsample"": 0.9687563802073614, ""colsample_bytree"": 0.6548680465825051, ""gamma"": 3.9526520188297773, ""min_child_weight"": 5.071224569902851}"
acl,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.3095340020538836,0.7909193611050819,0.22361256227735868,0.5243652898825313,0.8169035926596019,0.7712073940708267,0.20945499376512466,0.37184497797064453,"{""n_estimators"": 398, ""num_leaves"": 74, ""learning_rate"": 0.010019964308898482, ""subsample"": 0.7942827374813995, ""colsample_bytree"": 0.7239305340778437, ""reg_alpha"": 0.08880541798174779, ""reg_lambda"": 0.5227014726819477, ""min_child_samples"": 16}"
lbp,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.5951250842557412,0.7638820941572899,0.5281944526294262,0.6872061262315872,0.7897687014075981,0.8061965986714184,0.582185558411634,0.6334575293856444,"{""n_estimators"": 213, ""max_depth"": 5, ""learning_rate"": 0.03904223666334719, ""subsample"": 0.9394318874558313, ""colsample_bytree"": 0.7136565483179756, ""gamma"": 2.8910528674093534, ""min_child_weight"": 8.215324582835521}"
lbp,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.5930833405617874,0.7593615775553407,0.5175071651056229,0.6948464958122553,0.7811383832219461,0.8049553589987927,0.5809585029634787,0.6318202929696959,"{""n_estimators"": 209, ""num_leaves"": 34, ""learning_rate"": 0.014150791059416672, ""subsample"": 0.8699035155452727, ""colsample_bytree"": 0.7567859649489266, ""reg_alpha"": 0.41086356376803457, ""reg_lambda"": 0.6082645265327022, ""min_child_samples"": 85}"
ivh2,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.45479676225549115,0.7725490304812984,0.35026239693238975,0.6496675178487676,0.7935379092061119,0.7938537661958416,0.3791008483162387,0.49989938886178553,"{""n_estimators"": 374, ""max_depth"": 3, ""learning_rate"": 0.043996851970520515, ""subsample"": 0.9126966769707857, ""colsample_bytree"": 0.744375040647353, ""gamma"": 3.966311381920926, ""min_child_weight"": 3.2953564576365064}"
ivh2,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.4562780875844732,0.7829110149626552,0.36029776107309525,0.6244629735786127,0.8099692187249792,0.7909658708787626,0.3776061153816598,0.49961405258248703,"{""n_estimators"": 422, ""num_leaves"": 37, ""learning_rate"": 0.01129821298429741, ""subsample"": 0.7324171394197295, ""colsample_bytree"": 0.6768498519003585, ""reg_alpha"": 0.18867504321660894, ""reg_lambda"": 0.5424573653283109, ""min_child_samples"": 53}"
